192.168.100.47.52953>74.125.98.10.443,1296101/66707/1273546/66707/1181138/66707/70244/2101106/111000/182636/2099906/1580274/376768/2101106/1822680/2101106/528489/1702370/1291875/1321803/1813763/523594/1426224/1669895/1593166/569620/1276976/2101106/1766687/569201/1895290/1962258/551021/1453657/1936840/1545407/586889/1987670/1343189/1387850/1322405/568764/1841570/1611183/1335647/594316/2101106/2045205/1513615/533310/1706840/1420211/1553871/508620/2101106/1653968/1551061/1562106/2101106/525053/2058249/1518873/1515928/1507698/1545280/529300/1395977/1514216/1515237/1561221/1556948/518436/1552726/1497402/1500353/1564610/1639301/1756471/529239/1725961/1443497/1439396/1445645/1418597/1431231/501890/1415236/2100820/
192.168.100.47.53055>74.125.98.10.443,1389676/1296144/1266872/2101106/1885315/485968/1330962/1323672/1276093/2101106/1295898/490014/2029909/
192.168.100.47.53047>172.217.133.40.443,748234/2101106/23701/197514/2101106/458264/2101106/1294001/483449/2101106/1399889/2101106/1616982/1243515/491943/2101106/1698959/1411441/1358351/502994/
192.168.100.47.50482>196.189.186.17.443,645466/833252/84120/2036230/143063/2101105/362941/1350767/1482081/398683/1967499/1775555/2101105/559280/2045405/1829257/2101105/1679500/531594/1900495/1373031/1931581/540142/1904709/1790357/2101105/562874/2085475/1609363/2101105/552083/2101105/1429569/1435657/1336882/530066/1979393/1859834/1845475/509023/1751176/1705294/575361/1708704/1517318/2101105/151850/
192.168.100.47.53128>74.125.98.8.443,68012/547479/484748/66707/743605/77947/2024477/386815/1484765/66707/59407/99884/163417/1374960/1385649/232453/2101105/725112/1568093/167674/2101105/1957110/482236/1905716/1808320/2101105/2101105/2101105/300951/2101105/2101105/315639/1751681/877626/1166081/2000870/2101105/478440/1330022/1471434/2101105/2101105/2101105/466804/1512598/2101105/2101105/1342817/1977289/456315/1601625/1760381/1190400/
192.168.100.47.53148>74.125.11.233.443,2093764/1645967/2098705/457388/2000769/1484948/451042/1977920/2101105/
192.168.100.47.53161>74.125.98.8.443,1961818/1503788/2030896/437824/1818724/2101105/1802976/2101105/466794/1318177/2101105/1456241/2101105/1664622/1357992/1360618/482010/1771659/1690619/1300991/1873675/2088248/2101105/480560/1412081/1615100/2101105/1371688/2101105/1808073/449652/1739340/2014692/2099717/1261817/2101105/1445483/473906/1631244/1973169/1794678/2098705/477621/1652455/
192.168.100.47.53183>74.125.11.233.443,1250828/1297444/2003522/2098705/2056481/2101105/453573/1939120/2101105/
192.168.100.47.53185>74.125.98.8.443,1789157/1301745/1313977/1876581/2101105/448700/1471000/2101105/1884686/1323808/2101105/2101105/440111/2101105/1765053/1424304/1506966/2101105/2101105/1320576/302852/1779660/1266190/2101105/537645/
192.168.100.47.50577>197.156.74.141.443,277156/352529/68393/678922/137388/1420549/248377/1786722/398366/1904039/1973269/411085/1870725/406595/1574635/1865108/387718/1911835/378309/1798102/1794835/70719/
192.168.100.47.53295>74.125.98.8.443,393549/634622/66707/115773/1124297/206968/331988/1621150/1603957/471209/1593606/1784049/480100/1681046/1794410/469751/1609793/1884868/308387/1506606/
192.168.100.47.50654>196.189.186.16.443,493667/744632/66707/125807/1748166/1933550/202207/316090/1895043/1753904/456669/1726063/1481928/1524112/451221/1781335/2101105/1652130/454598/1738158/1709672/141967/760236/
192.168.100.47.53364>74.125.98.10.443,833947/1222604/66707/108789/2101106/207069/1219200/
192.168.100.47.53380>74.125.11.233.443,2101106/312795/1476979/1895088/448916/2101106/
192.168.100.47.53363>74.125.98.10.443,70444/1724026/1991572/446688/1889917/1812605/1922170/439838/1390710/1876315/448300/1735913/2055449/1965241/451191/2101106/1583196/2101106/1352833/445712/1345105/1987727/2074442/553471/1419611/1901858/2098706/1920303/426605/1415512/1326204/
192.168.100.47.53388>74.125.11.233.443,924551/1439987/1819673/542077/1498729/
192.168.100.47.53390>74.125.98.10.443,1896888/1837538/1984820/553234/1983706/2090039/1810416/446643/1626784/2101106/2101106/461255/1834178/1818350/1830649/448908/1406115/1818283/1839077/467895/1947985/1921375/423845/2101106/2101106/2057420/426737/1525524/2101106/2101106/473973/2101106/2101106/2101106/2101106/475235/2079782/2005695/1321294/1978495/479551/1482871/1944919/1560628/450166/1683955/
192.168.100.47.50755>197.156.74.142.443,860356/1318617/66707/2101106/97240/198683/1428131/384771/1895619/2101106/478313/2101106/2101106/1670723/446621/1519358/1479311/1851633/2101106/460233/1642750/2101106/1415172/1390365/1458044/450851/1374025/1394412/1413540/1403482/1351816/1290857/488253/2042657/2101106/1941865/486103/2101106/1621354/1441759/1430825/485206/1441591/1917764/1992681/482247/2058961/1850069/500365/476444/2101106/1885950/2101106/477115/1487656/2101106/2101106/485325/1939797/1890487/494509/2101106/1295490/1411499/1866340/472864/1781851/463282/1373684/1706362/1982549/468409/2050097/463488/1415615/2101106/471467/2101106/1985307/2101106/463728/2101106/2098201/466121/1990835/464317/1856202/
192.168.100.47.53494>74.125.167.76.443,582283/830364/66707/1574734/106236/210667/2101105/1942883/353689/1466825/1989363/2101105/117485/82656/
192.168.100.47.50885>74.125.167.89.443,600954/599878/843551/66707/121857/1948692/204976/1800362/299875/1623003/1642829/461334/1722752/1402292/1839775/453324/2101106/2101106/1739481/468846/1395643/1929340/2101106/465788/2044116/1971662/450779/2090618/2101106/1552366/1274306/460899/1270728/2101106/1709103/1673844/458985/2101106/1459979/1852010/457263/1644553/1879034/1809598/457123/2006630/1519965/453983/2101106/1295496/2101106/2101106/454146/1393958/1297793/2101106/1314029/480158/1284795/1860561/1876103/1880221/474148/1746044/1749430/84501/
192.168.100.47.53586>74.125.98.9.443,644977/826932/83578/186510/1866666/370127/1556822/1989613/547587/2101105/2101105/1995807/577980/1415595/1691745/1476177/1609047/629675/1524759/1763888/1795631/1998731/1740531/589652/2101105/2045642/543175/1874040/2101105/494016/2015805/1881265/2101105/1996463/630839/1772113/1821133/2101105/535518/1465810/2101105/1521445/533105/2101105/1950816/1289984/1473081/545684/1829212/1467502/1407201/1460367/528119/1419663/1943373/2101105/640097/2101105/1932439/1699171/124627/
192.168.100.47.51013>74.125.167.91.443,385412/598858/88507/1430291/193618/1999147/268457/2090432/1513080/372550/1704367/1875947/1934772/380515/2074896/1570267/382314/1615233/1991426/377722/1685183/1861943/1766853/474733/1875864/1473225/
192.168.100.47.53663>74.125.98.10.443,171346/75277/399199/159135/770964/1447039/158166/240838/128030/
192.168.100.47.51125>74.125.98.38.443,810194/808442/1133501/66707/1448451/72074/2101106/122687/2101106/164244/1601301/2101106/326917/2101106/1846376/499854/2101106/2034059/1498292/2101106/469633/2101106/1895240/505585/2101106/1669785/2098706/501132/2101106/1927812/2023484/1609545/511491/1948578/2033936/2048287/495701/1486564/2042233/1876306/474773/1704428/1462649/2077807/492779/2049322/2049440/2076375/497279/2101106/1290968/2101106/497800/2098681/2101106/1469093/507494/2101106/2101106/2101106/499843/2030762/1525283/1795053/1293394/488763/2101106/1634958/1475901/2101106/496239/2101106/1447895/1274575/1421286/2101106/481982/1887948/2011682/469899/1496808/1821895/1884640/1859883/490404/1538211/2101106/1262098/471483/2101106/1706208/2031623/480845/2080810/2101106/2101106/483146/1919418/1775241/1323700/2101106/485142/2101106/2101106/
192.168.100.47.53760>74.125.98.38.443,678428/66707/1449615/136748/1422783/241513/1539446/2101105/340518/1737279/1931273/1808795/501528/2101105/2101105/2101105/1555933/506239/1322197/1333135/1429179/2101105/505514/2046192/1842916/2101105/1865467/527459/1691204/2101105/506318/1608003/1824542/1515609/189033/2041208/
192.168.100.47.50769>197.156.74.146.443,67189/67508/76470/51348/293144/47526/66707/57927/1545657/314196/1803510/1770324/385147/1416217/2101105/2057195/298866/717513/
192.168.100.47.64462>197.156.74.145.443,1377000/66707/1642964/133209/1714236/227356/1665706/2049311/306040/1403789/1944938/1602181/1961073/2101106/451134/2101106/2019382/1808308/2101106/2101106/2101106/2101106/443171/2101106/1718813/2101106/1729961/2101106/1693855/479331/1511511/2028442/1562788/2101106/1953941/1835388/462620/2101106/1779926/1586014/1430418/2011554/1488659/1390664/472702/1925592/1566402/2101106/1479609/2101106/457396/1772348/1629249/1982396/1587874/2101106/2101106/2101106/449441/1950927/2101106/2101106/2101106/1431739/458525/1669240/1669761/1619076/2101106/2101106/1422551/1843104/1550450/491902/1891698/2101106/2101106/2082854/1789515/2101106/2048740/463739/1899664/1712941/1422435/1934138/1650234/1975189/1728778/1483782/488792/1492705/1670539/2101106/1783307/1650144/491950/2101106/2009726/1574553/1967473/477223/2101106/2101106/1678903/1467178/1435836/2101106/473497/2101106/2101106/2101106/1757139/2101106/472318/2101106/2101106/1272711/1822690/1856462/1344245/1971908/501892/1322360/2101106/1610851/2101106/1658455/1355302/1508269/458904/1545020/1407643/2101106/2101106/1814906/1761878/1698449/508536/1673733/1619241/2101106/2101106/1518893/1758178/473865/1637124/2101106/2101106/2101106/2098706/2101106/507145/2101106/2101106/1719412/1741610/
192.168.100.47.51253>74.125.98.38.443,600242/73737/153239/1683017/255965/1859192/354526/1716075/504959/1935632/1990830/514645/1146000/
192.168.100.47.51303>74.125.98.38.443,1223962/1966520/2101105/501929/2068781/2101105/598202/598202/162565/279648/2101105/494556/1893943/410366/1236496/712057/1750362/645746/1607740/1029577/2015096/1518407/533775/2016297/1952526/509328/330222/1834860/1948391/523239/1467130/1903094/495141/1648950/496348/2066031/821305/1891250/2101105/497266/2101105/2101105/1959037/497577/1478649/1500778/492457/1816987/2041830/491435/1985205/1932501/477740/1780084/812705/2101105/490401/1799261/2101105/612795/1979429/1612372/1595125/
192.168.100.47.53840>74.125.98.6.443,646034/72801/151154/1654939/297048/360061/1340544/570483/1379007/1983835/510244/1824430/1833107/676281/1749549/2101106/1894183/666630/1921725/1444286/669217/1389105/1847368/1861708/531471/1768467/540841/1678554/2026490/550695/1864477/600552/1900526/573805/1817677/565882/1706370/1703341/556377/2101106/531442/1995188/543567/1902030/1953435/559694/1851774/527024/2059695/602484/2068832/594391/1988487/590679/1872648/2070830/517972/1970203/698400/
192.168.100.47.51397>196.189.186.18.443,560989/559780/1119148/66707/1795374/123906/1573854/194485/1914970/285305/1472879/2101105/417945/1803103/1418502/2101105/430013/1666323/1265043/1400695/2101105/456969/444691/471166/445587/435673/461445/457874/434153/430212/462052/446458/449189/435503/458167/
192.168.100.47.51414>74.125.98.9.443,1399260/1442118/1691541/1294329/1971984/2101105/1683073/1995523/1686793/1908887/1955932/1266236/2101105/1970295/1895252/1708169/1882514/1613425/1332648/1479164/1890988/1981164/1898431/1372912/1409858/1838261/1539860/1375084/1622886/1430904/1831179/2101105/2101105/2007963/1758119/1429395/2101105/1272493/1834803/1938994/1470682/2101105/1848410/990046/
